EC-Lab ASCII FILE
Nb header lines : 54                          

Cyclic Voltammetry

Run on channel : 2 (SN 2827)
User : 
Electrode connection : standard
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : 50 kHz
Channel : Floating
Acquisition started on : 09/05/2019 17:27:53
Saved on :
	File : 180_11.4_FTO_02_CV_C02.mpr
	Directory : C:\Data\Justin\09_04_2019_pvd_SnOxCV\
	Host : 192.109.209.127
Device : VSP-300 (SN 0229)
Address : 192.109.209.128
EC-Lab for windows v10.40 (software)
Internet server v10.40 (firmware)
Command interpretor v10.40 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Ei (V)              0.000               
vs.                 Eoc                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              1.500               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0.600              
vs.                 Ref                 
nc cycles           3                   
Reverse Scan        1                   
Ef (V)              0.000               
vs.                 Eoc                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	1	0	0	0	3.6376	0.192089483	0.192219585	-0.00062612490728497505	1	0	22.8278255	1.20353477E-007
2	1	0	1	0	3.6651	0.192639425	0.193066835	-0.00027820057448479821	1	-8.11192535E-009	22.8278179	5.37113038E-008
2	1	0	1	0	3.7151	0.193639413	0.194057435	-8.8743143769070393E-005	1	-1.57395217E-008	22.8278179	1.72212662E-008
2	1	0	1	0	3.7651	0.194639385	0.194944337	-1.9768280742061574E-005	1	-1.72313381E-008	22.8278179	3.85371424E-009
2	1	0	1	0	3.8151	0.195639402	0.195893899	4.981179151157483E-006	1	-1.64818541E-008	22.8278179	9.75782566E-010
2	1	0	1	0	3.8651	0.196639404	0.196925506	2.2069727039466765E-005	1	-1.47062913E-008	22.8278179	4.34609237E-009
2	1	0	1	0	3.9151	0.197639406	0.198066816	3.4938431745693474E-005	1	-1.22019719E-008	22.8278179	6.92014401E-009
2	1	0	1	0	3.9651	0.198639393	0.19891724	4.1091084502416718E-005	1	-9.15358545E-009	22.8278179	8.17372481E-009
2	1	0	1	0	4.0151	0.19963938	0.199978426	4.8968236750955465E-005	1	-5.79778092E-009	22.8278179	9.79259074E-009
2	1	0	1	0	4.0651	0.200639397	0.201022461	5.5127422923659719E-005	1	-2.11693307E-009	22.8278179	1.10818501E-008
2	1	0	1	0	4.1151	0.201639384	0.20198828	6.221979884912801E-005	1	1.87085902E-009	22.8278179	1.25676705E-008
2	1	0	1	0	4.1651	0.202639401	0.202842474	6.5725345571628806E-005	1	6.07636164E-009	22.8278179	1.3331892E-008
2	1	0	1	0	4.2151	0.203639388	0.203965694	6.9669047135789751E-005	1	1.04960378E-008	22.8278179	1.42100953E-008
2	1	0	1	0	4.2651	0.204639405	0.205110803	7.4153903296705534E-005	1	1.519264E-008	22.8278179	1.52097659E-008
2	1	0	1	0	4.3151	0.205639377	0.205996513	7.6292884324166243E-005	1	2.00171062E-008	22.8278179	1.57160684E-008
2	1	0	1	0	4.3651	0.206639394	0.207072973	8.002475790568227E-005	1	2.50562575E-008	22.8278179	1.6570965E-008
2	1	0	1	0	4.4151	0.207639411	0.208058849	8.5405697008043282E-005	1	3.02572083E-008	22.8278179	1.77694108E-008
2	1	0	1	0	4.4651	0.208639413	0.209063753	9.0374454463433736E-005	1	3.56519791E-008	22.8278179	1.88940223E-008
2	1	0	1	0	4.5151	0.209639385	0.210012376	9.3746970109080761E-005	1	4.12028029E-008	22.8278179	1.96880237E-008
2	1	0	1	0	4.5651	0.210639402	0.211166114	9.5315826641240165E-005	1	4.69197445E-008	22.8278179	2.0127473E-008
2	1	0	1	0	4.6151	0.211639419	0.211989805	9.9165009584322936E-005	1	5.28225286E-008	22.8278179	2.10219717E-008
2	1	0	1	0	4.6651	0.212639391	0.212976605	0.00010095294587973485	1	5.88640248E-008	22.8278179	2.15006164E-008
2	1	0	1	0	4.7151	0.213639393	0.214102656	0.00010558973456311401	1	6.50840803E-008	22.8278179	2.26070433E-008
2	1	0	1	0	4.7651	0.21463941	0.214989319	0.00010635243500524221	1	7.14489161E-008	22.8278179	2.28646382E-008
2	1	0	1	0	4.8151	0.215639383	0.216041908	0.00010917355442390772	1	7.79935547E-008	22.8278179	2.35860629E-008
2	1	0	1	0	4.8651	0.2166394	0.217027754	0.00011493221726537007	1	8.46992521E-008	22.8278179	2.49434802E-008
2	1	0	1	0	4.9151	0.217639416	0.217986897	0.00011450572715485043	1	9.15845959E-008	22.8278179	2.49607481E-008
2	1	0	1	0	4.9651	0.218639404	0.219068125	0.00012286061091462805	1	9.8614052E-008	22.8278179	2.69148437E-008
2	1	0	1	0	5.0151	0.219639391	0.219887063	0.00012580644819908896	1	1.05787322E-007	22.8278179	2.76632104E-008
2	1	0	1	0	5.0651	0.220639408	0.221027419	0.0001285860626601925	1	1.13178864E-007	22.8278179	2.84210451E-008
2	1	0	1	0	5.1151	0.221639395	0.22203806	0.00013125877137975281	1	1.20706872E-007	22.8278179	2.91444433E-008
2	1	0	1	0	5.1651	0.222639397	0.222969562	0.00013730152883268927	1	1.28394632E-007	22.8278179	3.06140606E-008
2	1	0	1	0	5.2151	0.223639399	0.223997369	0.00013836988160552096	1	1.36261448E-007	22.8278179	3.09944888E-008
2	1	0	1	0	5.2651	0.224639401	0.224882096	0.00014197807323162775	1	1.4429861E-007	22.8278179	3.19283266E-008
2	1	0	1	0	5.3151	0.225639403	0.226012915	0.0001425241665731717	1	1.5247754E-007	22.8278179	3.22123022E-008
2	1	0	1	0	5.3651	0.226639375	0.226987302	0.000150833994481488	1	1.60842774E-007	22.8278179	3.42374022E-008
2	1	0	1	0	5.4151	0.227639392	0.227955997	0.00015043683678144307	1	1.69387633E-007	22.8278179	3.42929773E-008
2	1	0	1	0	5.4651	0.228639409	0.22905916	0.00015371324757830365	1	1.78066443E-007	22.8278179	3.52094283E-008
