,wl,power
0,300,3.0628776749999994e-12
1,301,5.645906838016529e-12
2,302,8.32300878278689e-12
3,303,1.9701183549571427e-11
4,304,2.5661140748975604e-11
5,305,4.356502190294352e-11
6,306,4.804136220052001e-11
7,307,7.03727830033333e-11
8,308,9.349043979695649e-11
9,309,9.800677710352941e-11
10,310,1.2063512470406252e-10
11,311,1.9238346250666667e-10
12,312,2.122958200443077e-10
13,313,2.392738531954024e-10
14,314,2.618397511338402e-10
15,315,2.9271073886792455e-10
16,316,2.604765231505618e-10
17,317,3.555148291738806e-10
18,318,3.586027977259258e-10
19,319,4.1042497293357937e-10
20,320,4.0473387062554756e-10
21,321,4.859113547869091e-10
22,322,4.2476556895342983e-10
23,323,4.0002592898417266e-10
24,324,5.114639769e-10
25,325,5.111860968382982e-10
26,326,6.892268819646643e-10
27,327,7.098561390363635e-10
28,328,6.188635835818816e-10
29,329,7.350104731211076e-10
30,330,8.104428947412371e-10
31,331,6.845878022082191e-10
32,332,7.334064942857145e-10
33,333,7.140588752000001e-10
34,334,6.831387088818791e-10
35,335,7.558568958666668e-10
36,336,6.698668976966773e-10
37,337,5.976797132475247e-10
38,338,6.876825885588236e-10
39,339,7.278915165081435e-10
40,340,7.816990057077922e-10
41,341,7.279811408670966e-10
42,342,7.502278097942307e-10
43,343,7.833225230312102e-10
44,344,6.320322584752381e-10
45,345,6.886657737333334e-10
46,346,7.119612392100003e-10
47,347,7.317498929142855e-10
48,348,6.993621112207431e-10
49,349,6.815680135384614e-10
50,350,7.685093782348624e-10
51,351,7.989692262164134e-10
52,352,7.46177549460121e-10
53,353,7.463544294534533e-10
54,354,8.636889698919402e-10
55,355,8.692425558214288e-10
56,356,7.842573719195266e-10
57,357,6.443434269488237e-10
58,358,6.045274304005832e-10
59,359,6.579185937593023e-10
60,360,8.3540781793526e-10
61,361,7.247604009146131e-10
62,362,7.418954642400002e-10
63,363,8.343117943278409e-10
64,364,8.380814986237289e-10
65,365,8.606936319213483e-10
66,366,1.012491315403352e-09
67,367,9.94280175e-10
68,368,9.164511673811634e-10
69,369,9.507099152967033e-10
70,370,1.0342495611131507e-09
71,371,9.490411464948228e-10
72,372,9.224135481008128e-10
73,373,8.458902755967657e-10
74,374,7.602924667453085e-10
75,375,8.050120078266667e-10
76,376,9.21786787755968e-10
77,377,9.731072890000001e-10
78,378,1.169581126684555e-09
79,379,1.0171220949330728e-09
80,380,9.584018816051814e-10
81,381,1.0457871745036082e-09
82,382,8.03767061311795e-10
83,383,6.241002293736572e-10
84,384,6.996812010964467e-10
85,385,9.261679890909089e-10
86,386,8.547480042964824e-10
87,387,8.98518314488471e-10
88,388,8.780486933611938e-10
89,389,9.485066527732672e-10
90,390,1.105026909824138e-09
91,391,1.182573163615686e-09
92,392,1.1069941190170733e-09
93,393,6.693362076699031e-10
94,394,6.935305329200483e-10
95,395,1.1324889119192309e-09
96,396,1.063931450590909e-09
97,397,6.008306760389547e-10
98,398,1.2053790819439715e-09
99,399,1.5166579083599997e-09
100,400,1.5843535999601875e-09
101,401,1.6559276354638697e-09
102,402,1.7266080419535961e-09
103,403,1.6685804039032258e-09
104,404,1.7002911998045977e-09
105,405,1.6648582144530893e-09
106,406,1.632255970581818e-09
107,407,1.6048705887313769e-09
108,408,1.6832920825675676e-09
109,409,1.8110746295964128e-09
110,410,1.5454316243986637e-09
111,411,1.7341848730376941e-09
112,412,1.8610109816026498e-09
113,413,1.8018921792879123e-09
114,414,1.7613831482582055e-09
115,415,1.85670742836522e-09
116,416,1.966579071343413e-09
117,417,1.8505956516206899e-09
118,418,1.829367987276821e-09
119,419,2.01098710477612e-09
120,420,1.7561419199999998e-09
121,421,2.0452513760720312e-09
122,422,2.2840786372605027e-09
123,423,2.145516500251035e-09
124,424,2.0659751574e-09
125,425,2.7001259627826034e-09
126,426,2.7009243308041063e-09
127,427,2.379676131498975e-09
128,428,3.4200191609141106e-09
129,429,3.580359710945111e-09
130,430,2.5961245073453396e-09
131,431,3.4540962838290384e-09
132,432,7.303325616919675e-09
133,433,6.584502382371256e-09
134,434,8.287448519666056e-09
135,435,1.2603269361742583e-08
136,436,1.4595277127480318e-08
137,437,1.842921438164679e-08
138,438,2.2921658312656244e-08
139,439,2.5114665200970838e-08
140,440,3.344585870909109e-08
141,441,4.541601206364149e-08
142,442,5.8549325790230036e-08
143,443,6.735123265167958e-08
144,444,8.595451116000001e-08
145,445,1.1065644033812489e-07
146,446,1.1354586335849327e-07
147,447,1.5958369785497178e-07
148,448,2.00475705830597e-07
149,449,2.323941892834578e-07
150,450,2.848718183364136e-07
151,451,3.611475517226499e-07
152,452,4.0490012956073393e-07
153,453,4.3180193871970836e-07
154,454,5.521012180308483e-07
155,455,6.436889888000005e-07
156,456,7.601569422616276e-07
157,457,8.909956097473081e-07
158,458,1.0200948566828629e-06
159,459,1.1542037233017751e-06
160,460,1.3101946366953927e-06
