Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			
Device	CsFa_70uL_A		Device	CsFa_70uL_A_p1_s1		Device	CsFa_70uL_A_p1_s1		Device	CsFa_70uL_A_p3_s1		Device	CsFa_70uL_A_p3_s1		Device	CsFa_70uL_C_p1_s1		Device	CsFa_70uL_C_p3_s1		Device	CsFa_70uL_C_p3_s1		Device	CsFa_70uL_C_p3_s3		Device	BaCsFa_50uL_A_p1_s1		Device	BaCsFa_50uL_A_p2_s1		Device	BaCsFa_50uL_A_p3_s1		Device	CsFa_50uL_A_p1_s1		Device	CsFa_50uL_A_p1_s1		Device	CsFa_50uL_A_p1_s1		Device	CsFa_50uL_A_p1_s1		Device	CsFa_50uL_A_p3_s1		Device	CsFa_50uL_B_p1_s1		Device	CsFa_50uL_B_p2_s1		Device	CsFa_50uL_B_p2_s2		Device	CsFa_50uL_B_p3_s1		Device	CsFa_30uL_a_p1_s1		Device	CsFa_30uL_a_p1_s2		Device	CsFa_30uL_a_p3_s1		Device	CsFa_30uL_b_p1_s1		Device	CsFa_30uL_b_p2_s1		Device	CsFa_30uL_b_p2_s2		Device	CsFa_30uL_c_p1_s1		Device	CsFa_30uL_c_p2_s1		Device	CsFa_30uL_c_p3_s1		Device	CsFa_30uL_c_p3_s2		Device	CsFa_30uL_c_p3_s3		Device	BaCsFa_reheat		
Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV4		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		
Size [cm2]	0.08		Size [cm2]	0.08		Size [cm2]	0.08		Size [cm2]	0.08		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		Size [cm2]	0.0707		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		Date	8/22/2019		
Time	8:03:33 PM		Time	8:04:11 PM		Time	8:05:44 PM		Time	8:06:14 PM		Time	8:06:39 PM		Time	8:11:43 PM		Time	8:12:04 PM		Time	8:12:36 PM		Time	8:13:03 PM		Time	8:16:27 PM		Time	8:17:29 PM		Time	8:18:04 PM		Time	8:24:47 PM		Time	8:25:24 PM		Time	8:25:38 PM		Time	8:26:00 PM		Time	8:26:45 PM		Time	8:29:21 PM		Time	8:29:42 PM		Time	8:30:14 PM		Time	8:31:30 PM		Time	8:35:09 PM		Time	8:35:44 PM		Time	8:36:29 PM		Time	8:39:23 PM		Time	8:39:44 PM		Time	8:40:14 PM		Time	8:42:39 PM		Time	8:42:58 PM		Time	8:43:28 PM		Time	8:44:20 PM		Time	8:47:03 PM		Time	8:51:53 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
