Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Au2_Spiro_A_s1_p2		Device	Au2_Spiro_A_s1_p2		Device	Au2_Spiro_A_s1_p3		Device	Au2_Spiro_A_s1_p3		Device	Au2_Spiro_A_s2_p2		Device	Au2_Spiro_A_s2_p2		Device	Au2_Spiro_A_s3_p2		Device	Au2_Spiro_A_s3_p2		Device	Au2_Spiro_A_s4_p2		Device	Au2_Spiro_A_s4_p2		Device	Au2_Spiro_A_s5_p2		Device	Au2_Spiro_A_s5_p2		Device	Au2_Spiro_B_s1_p2		Device	Au2_Spiro_B_s1_p2		Device	Au2_Spiro_C_s1_p2		Device	Au2_Spiro_C_s1_p2		Device	Au2_Spiro_C_s1_p3		Device	Au2_Spiro_C_s1_p3		Device	Au2_Spiro_PMMA_A_s1_p1		Device	Au2_Spiro_PMMA_A_s1_p1		Device	Au2_Spiro_PMMA_A_s1_p2		Device	Au2_Spiro_PMMA_A_s1_p2		Device	Au2_Spiro_PMMA_A_s1_p3		Device	Au2_Spiro_PMMA_A_s1_p3		Device	Au2_Spiro_PMMA_B_s1_p1		Device	Au2_Spiro_PMMA_B_s1_p1		Device	Au2_Spiro_PMMA_B_s1_p2		Device	Au2_Spiro_PMMA_B_s1_p2		Device	Au2_Spiro_PMMA_B_s1_p3		Device	Au2_Spiro_PMMA_B_s1_p3		Device	Au2_P3HT_A_s1_p2		Device	Au2_P3HT_A_s1_p2		Device	Au2_P3HT_A_s1_p3		Device	Au2_P3HT_A_s1_p3		Device	Au2_P3HT_B_s1_p1		Device	Au2_P3HT_B_s1_p1		Device	Au2_P3HT_B_s1_p2		Device	Au2_P3HT_B_s1_p2		Device	Au2_P3HT_B_s1_p3		Device	Au2_P3HT_B_s1_p3		Device	Au2_P3HT_C_s1_p2		Device	Au2_P3HT_C_s1_p2		Device	Au2_P3HT_PMMA_A_s1_p2		Device	Au2_P3HT_PMMA_A_s1_p2		Device	Au2_P3HT_PMMA_B_s1_p2		Device	Au2_P3HT_PMMA_B_s1_p2		Device	Au2_P3HT_PMMA_B_s2_p2		Device	Au2_P3HT_PMMA_B_s2_p2		Device	Au2_P3HT_PMMA_B_s3_p2		Device	Au2_P3HT_PMMA_B_s3_p2		Device	Au2_P3HT_PMMA_B_s4_p2		Device	Au2_P3HT_PMMA_B_s4_p2		Device	Au2_P3HT_PMMA_B_s5_p2		Device	Au2_P3HT_PMMA_B_s5_p2		Device	Au2_P3HT_PMMA_B_s6_p2		Device	Au2_P3HT_PMMA_B_s6_p2		Device	Au2_P3HT_PMMA_B_s7_p2		Device	Au2_P3HT_PMMA_B_s7_p2		Device	Au2_P3HT_PMMA_C_s1_p1		Device	Au2_P3HT_PMMA_C_s1_p1		Device	Au2_P3HT_PMMA_C_s1_p2		Device	Au2_P3HT_PMMA_C_s1_p2		Device	Au2_P3HT_PMMA_C_s1_p3		Device	Au2_P3HT_PMMA_C_s1_p3		Device	Au2_P3HT_PMMA_C_s2_p3		Device	Au2_P3HT_PMMA_C_s2_p3		Device	Au2_P3HT_PMMA_C_s3_p3		Device	Au2_P3HT_PMMA_C_s3_p3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		
Time	10:58:50 PM		Time	10:58:50 PM		Time	10:59:22 PM		Time	10:59:22 PM		Time	10:59:49 PM		Time	10:59:49 PM		Time	11:00:19 PM		Time	11:00:19 PM		Time	11:00:44 PM		Time	11:00:44 PM		Time	11:01:05 PM		Time	11:01:05 PM		Time	11:03:37 PM		Time	11:03:37 PM		Time	11:08:25 PM		Time	11:08:25 PM		Time	11:08:49 PM		Time	11:08:49 PM		Time	11:12:42 PM		Time	11:12:42 PM		Time	11:13:07 PM		Time	11:13:07 PM		Time	11:13:39 PM		Time	11:13:39 PM		Time	11:15:46 PM		Time	11:15:46 PM		Time	11:16:10 PM		Time	11:16:10 PM		Time	11:16:36 PM		Time	11:16:36 PM		Time	11:19:17 PM		Time	11:19:17 PM		Time	11:19:43 PM		Time	11:19:43 PM		Time	11:23:16 PM		Time	11:23:16 PM		Time	11:23:40 PM		Time	11:23:40 PM		Time	11:24:02 PM		Time	11:24:02 PM		Time	11:29:20 PM		Time	11:29:20 PM		Time	11:37:53 PM		Time	11:37:53 PM		Time	11:39:57 PM		Time	11:39:57 PM		Time	11:40:18 PM		Time	11:40:18 PM		Time	11:40:46 PM		Time	11:40:46 PM		Time	11:41:16 PM		Time	11:41:16 PM		Time	11:41:44 PM		Time	11:41:44 PM		Time	11:42:24 PM		Time	11:42:24 PM		Time	11:42:57 PM		Time	11:42:57 PM		Time	11:45:22 PM		Time	11:45:22 PM		Time	11:45:45 PM		Time	11:45:45 PM		Time	11:46:08 PM		Time	11:46:08 PM		Time	11:46:52 PM		Time	11:46:52 PM		Time	11:47:22 PM		Time	11:47:22 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
