Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Spiro_A_s1_p1		Device	Spiro_A_s1_p1		Device	Spiro_A_s1_p1		Device	Spiro_A_s1_p3		Device	Spiro_A_s2_p1		Device	Spiro_B_s1_p2		Device	Spiro_B_s2_p2		Device	Spiro_B_s2_p2		Device	Spiro_C_s1_p1		Device	Spiro_C_s1_p1		Device	Spiro_C_s1_p2		Device	Spiro_C_s1_p2		Device	Spiro_C_s2_p2		Device	Spiro_C_s2_p2		Device	Spiro_C_s1_p3		Device	Spiro_C_s1_p3		Device	Spiro_D_s1_p1		Device	Spiro_D_s1_p1		Device	Spiro_D_s1_p2		Device	Spiro_D_s1_p2		Device	SPIRO_PMMA_A_s1_p1		Device	SPIRO_PMMA_A_s1_p1		Device	SPIRO_PMMA_A_s1_p3		Device	SPIRO_PMMA_A_s1_p3		Device	SPIRO_PMMA_B_s1_p1		Device	SPIRO_PMMA_B_s1_p1		Device	SPIRO_PMMA_B_s2_p1		Device	SPIRO_PMMA_B_s2_p1		Device	SPIRO_PMMA_B_s2_p2		Device	SPIRO_PMMA_B_s2_p2		Device	SPIRO_PMMA_B_s3_p2		Device	SPIRO_PMMA_B_s3_p2		Device	SPIRO_PMMA_B_s3_p3		Device	SPIRO_PMMA_B_s3_p3		Device	P3HT_A_s1_p1		Device	P3HT_A_s1_p1		Device	P3HT_A_s1_p2		Device	P3HT_A_s1_p2		Device	P3HT_B_s1_p1		Device	P3HT_B_s1_p1		Device	P3HT_B_s1_p2		Device	P3HT_B_s1_p2		Device	P3HT_C_s1_p1		Device	P3HT_C_s1_p1		Device	P3HT_C_s1_p2		Device	P3HT_C_s1_p2		Device	P3HT_C_s1_p3		Device	P3HT_C_s1_p3		Device	P3HT_PMMA_A_s1_p1		Device	P3HT_PMMA_A_s1_p1		Device	P3HT_PMMA_A_s1_p2		Device	P3HT_PMMA_A_s1_p2		Device	P3HT_PMMA_A_s1_p3		Device	P3HT_PMMA_A_s1_p3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV4		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		Date	9/30/2019		
Time	6:13:00 PM		Time	6:13:24 PM		Time	6:14:08 PM		Time	6:14:49 PM		Time	6:15:15 PM		Time	6:19:19 PM		Time	6:19:56 PM		Time	6:19:56 PM		Time	6:23:17 PM		Time	6:23:17 PM		Time	6:23:48 PM		Time	6:23:48 PM		Time	6:24:22 PM		Time	6:24:22 PM		Time	6:24:52 PM		Time	6:24:52 PM		Time	6:27:14 PM		Time	6:27:14 PM		Time	6:27:43 PM		Time	6:27:43 PM		Time	6:54:42 PM		Time	6:54:42 PM		Time	6:55:15 PM		Time	6:55:15 PM		Time	6:58:14 PM		Time	6:58:14 PM		Time	6:58:57 PM		Time	6:58:57 PM		Time	6:59:39 PM		Time	6:59:39 PM		Time	7:00:06 PM		Time	7:00:06 PM		Time	7:00:34 PM		Time	7:00:34 PM		Time	7:08:36 PM		Time	7:08:36 PM		Time	7:09:01 PM		Time	7:09:01 PM		Time	7:11:24 PM		Time	7:11:24 PM		Time	7:11:48 PM		Time	7:11:48 PM		Time	7:16:19 PM		Time	7:16:19 PM		Time	7:16:45 PM		Time	7:16:45 PM		Time	7:17:08 PM		Time	7:17:08 PM		Time	7:23:49 PM		Time	7:23:49 PM		Time	7:24:13 PM		Time	7:24:13 PM		Time	7:24:35 PM		Time	7:24:35 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
