Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	0_PMMA_A_S1_P1		Device	0_PMMA_A_S1_P1		Device	0_PMMA_A_S1_P2		Device	0_PMMA_A_S1_P2		Device	0_PMMA_A_S1_P3		Device	0_PMMA_A_S1_P3		Device	0_PMMA_B_S1_P1		Device	0_PMMA_B_S1_P1		Device	0_PMMA_B_S1_P3		Device	0_PMMA_B_S1_P3		Device	0_PMMA_B_S2_P3		Device	0_PMMA_B_S2_P3		Device	0_PMMA_B_S3_P3		Device	0_PMMA_B_S3_P3		Device	0_PMMA_C_S1_P1		Device	0_PMMA_C_S1_P1		Device	0_PMMA_C_S1_P2		Device	0_PMMA_C_S1_P2		Device	0_PMMA_C_S2_P2		Device	0_PMMA_C_S2_P2		Device	0_PMMA_C_S1_P3		Device	0_PMMA_C_S1_P3		Device	1_PMMA_A_S1_P1		Device	1_PMMA_A_S1_P1		Device	1_PMMA_A_S2_P1		Device	1_PMMA_A_S2_P1		Device	1_PMMA_A_S1_P2		Device	1_PMMA_A_S1_P2		Device	1_PMMA_A_S1_P3		Device	1_PMMA_A_S1_P3		Device	1_PMMA_A_S2_P1		Device	1_PMMA_A_S2_P1		Device	1_PMMA_A_S3_P1		Device	1_PMMA_A_S3_P1		Device	1_PMMA_B_S1_P1		Device	1_PMMA_B_S1_P1		Device	1_PMMA_B_S2_P1		Device	1_PMMA_B_S2_P1		Device	1_PMMA_B_S1_P2		Device	1_PMMA_B_S1_P2		Device	1_PMMA_B_S1_P3		Device	1_PMMA_B_S1_P3		Device	1_PMMA_B_S2_P3		Device	1_PMMA_B_S2_P3		Device	1_PMMA_C_S1_P1		Device	1_PMMA_C_S1_P1		Device	1_PMMA_C_S1_P2		Device	1_PMMA_C_S1_P2		Device	1_PMMA_C_S1_P3		Device	1_PMMA_C_S1_P3		Device	1_PMMA_C_S2_P3		Device	1_PMMA_C_S2_P3		Device	75_PMMA_A_S1_P1		Device	75_PMMA_A_S1_P1		Device	75_PMMA_A_S2_P1		Device	75_PMMA_A_S2_P1		Device	75_PMMA_A_S3_P1		Device	75_PMMA_A_S3_P1		Device	75_PMMA_B_S1_P2		Device	75_PMMA_B_S1_P2		Device	75_PMMA_B_S1_P3		Device	75_PMMA_B_S1_P3		Device	75_PMMA_C_S1_P1		Device	75_PMMA_C_S1_P1		Device	75_PMMA_C_S1_P2		Device	75_PMMA_C_S1_P2		Device	75_PMMA_C_S1_P3		Device	75_PMMA_C_S1_P3		Device	75_PMMA_D_S1_P1		Device	75_PMMA_D_S1_P1		Device	75_PMMA_D_S1_P2		Device	75_PMMA_D_S1_P2		Device	50_PMMA_A_S1_P1		Device	50_PMMA_A_S1_P1		Device	50_PMMA_A_S1_P2		Device	50_PMMA_A_S1_P2		Device	50_PMMA_B_S1_P1		Device	50_PMMA_B_S1_P1		Device	50_PMMA_B_S1_P2		Device	50_PMMA_B_S1_P2		Device	50_PMMA_B_S1_P3		Device	50_PMMA_B_S1_P3		Device	50_PMMA_C_S1_P1		Device	50_PMMA_C_S1_P1		Device	50_PMMA_C_S1_P2		Device	50_PMMA_C_S1_P2		Device	50_PMMA_D*_S1_P1		Device	50_PMMA_D*_S1_P1		Device	50_PMMA_D*_S1_P2		Device	50_PMMA_D*_S1_P2		Device	50_PMMA_D*_S2_P2		Device	50_PMMA_D*_S2_P2		Device	50_PMMA_E_S1_P1		Device	50_PMMA_E_S1_P1		Device	50_PMMA_E_S1_P2		Device	50_PMMA_E_S1_P2		Device	50_PMMA_F*_S1_P1		Device	50_PMMA_F*_S1_P1		
Curve	Illuminated IV7		Curve	Illuminated IV8		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV4		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		Date	10/31/2019		
Time	8:34:04 PM		Time	8:34:04 PM		Time	8:35:35 PM		Time	8:35:35 PM		Time	8:36:09 PM		Time	8:36:09 PM		Time	8:40:24 PM		Time	8:40:24 PM		Time	8:41:05 PM		Time	8:41:05 PM		Time	8:41:28 PM		Time	8:41:28 PM		Time	8:42:13 PM		Time	8:42:13 PM		Time	8:43:46 PM		Time	8:43:46 PM		Time	8:44:12 PM		Time	8:44:12 PM		Time	8:44:36 PM		Time	8:44:36 PM		Time	8:45:09 PM		Time	8:45:09 PM		Time	8:47:09 PM		Time	8:47:09 PM		Time	8:47:35 PM		Time	8:47:35 PM		Time	8:48:01 PM		Time	8:48:01 PM		Time	8:48:30 PM		Time	8:48:30 PM		Time	8:49:40 PM		Time	8:49:40 PM		Time	8:50:14 PM		Time	8:50:14 PM		Time	8:52:25 PM		Time	8:52:25 PM		Time	8:52:52 PM		Time	8:52:52 PM		Time	8:53:21 PM		Time	8:53:21 PM		Time	8:53:52 PM		Time	8:53:52 PM		Time	8:54:16 PM		Time	8:54:16 PM		Time	8:55:41 PM		Time	8:55:41 PM		Time	8:56:11 PM		Time	8:56:11 PM		Time	8:56:44 PM		Time	8:56:44 PM		Time	8:57:05 PM		Time	8:57:05 PM		Time	8:59:07 PM		Time	8:59:07 PM		Time	8:59:34 PM		Time	8:59:34 PM		Time	9:00:15 PM		Time	9:00:15 PM		Time	9:02:02 PM		Time	9:02:02 PM		Time	9:02:49 PM		Time	9:02:49 PM		Time	9:04:28 PM		Time	9:04:28 PM		Time	9:04:51 PM		Time	9:04:51 PM		Time	9:05:17 PM		Time	9:05:17 PM		Time	9:07:09 PM		Time	9:07:09 PM		Time	9:07:42 PM		Time	9:07:42 PM		Time	9:10:25 PM		Time	9:10:25 PM		Time	9:11:00 PM		Time	9:11:00 PM		Time	9:12:36 PM		Time	9:12:36 PM		Time	9:13:02 PM		Time	9:13:02 PM		Time	9:13:31 PM		Time	9:13:31 PM		Time	9:15:06 PM		Time	9:15:06 PM		Time	9:15:29 PM		Time	9:15:29 PM		Time	9:17:03 PM		Time	9:17:03 PM		Time	9:17:39 PM		Time	9:17:39 PM		Time	9:18:13 PM		Time	9:18:13 PM		Time	9:19:44 PM		Time	9:19:44 PM		Time	9:20:08 PM		Time	9:20:08 PM		Time	9:21:43 PM		Time	9:21:43 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
