Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	Control		Device	Control		Device	Control		Device	Control_S1_P2		Device	Control_S1_P2		Device	Control_S1_P3		Device	Control_S1_P3		Device	Control_B_S1_P3		Device	Control_B_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		Device	Control_C_S1_P3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV3		Curve	Illuminated IV4		Curve	Illuminated IV3		Curve	Illuminated IV4		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		Date	11/13/2019		
Time	2:49:16 PM		Time	2:49:35 PM		Time	2:49:35 PM		Time	2:50:41 PM		Time	2:50:41 PM		Time	2:51:07 PM		Time	2:51:07 PM		Time	2:53:16 PM		Time	2:53:16 PM		Time	2:56:55 PM		Time	2:56:55 PM		Time	2:57:26 PM		Time	2:57:26 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.108908461	0.00157118557	-0.000171115402374108	-0.109766643	0.00156046036	-0.000171286495251771	-0.116994844	0.00157953575	-0.000184797538663673	-0.105453704	0.00154281144	-0.000162695180921574	-0.114653518	0.00159205132	-0.000182534284674544	-0.106202593	0.00149291898	-0.000158551866814915	-0.118455573	0.0015499632	-0.000183601778984914	-0.106424688	0.00112130918	-0.000119334979633036	-0.116938519	0.00151461927	-0.000177117334282661	-0.105461567	0.0015292891	-0.00016128122488202	-0.114012614	0.00158653709	-0.000180885240838853	-0.108945472	0.00150983526	-0.000164489715042943	-0.11727235	0.00158849727	-0.000186286807821484	
-0.100790056	0.00155677531	-0.000156907470674317	-0.0976234408	0.0015563071	-0.00015193205404347	-0.109821667	0.00156992891	-0.000172412209967693	-0.0959366204	0.00154233595	-0.000147966498564423	-0.108460468	0.00157811656	-0.00017116326065615	-0.0991870219	0.00151996367	-0.000150760669823494	-0.109145548	0.00154325782	-0.000168439720469185	-0.101296743	0.00115653423	-0.000117153150667013	-0.106806923	0.00148147084	-0.000158231341934625	-0.0965222163	0.00154612531	-0.000149235441598725	-0.10977379	0.00161583308	-0.000177376121198973	-0.0998387083	0.00152839876	-0.000152593357965722	-0.109947614	0.00159139873	-0.00017497049328613	
-0.0903357908	0.001556134858	-0.000140574672988876	-0.09042858514	0.001556557462	-0.000140757288977769	-0.09945467038	0.001564900366	-0.000155636650078071	-0.08952744996	0.001556901466	-0.000139385418089966	-0.09887826238	0.001562945524	-0.000154541337607719	-0.08879135586	0.001509440792	-0.000134025294512072	-0.0999334455	0.00154312779	-0.0001542100769015	-0.09133377274	0.001139847454	-0.000104106568321904	-0.09891244706	0.001433531766	-0.000141794134913303	-0.0892178407	0.001542653268	-0.000137632193519758	-0.09839520952	0.00158352501	-0.00015581127513911	-0.09020113106	0.001530259968	-0.000138031179929439	-0.10017325112	0.001586100416	-0.000158884835273504	
