Run Id			Run Id			Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	mITOCtrl_A_p1_s1		Device	mITOCtrl_A_p2_s1		Device	mITOCtrl_A_p1_s2		Device	mITOCtrl_A_p1_s2		Device	mITOCtrl_A_p2_s2		Device	mITOCtrl_A_p2_s2		Device	mITOCtrl_B_p1_s1		Device	mITOCtrl_B_p1_s1		Device	mITOCtrl_B_p2_s1		Device	mITOCtrl_B_p2_s1		Device	mITOCtrl_B_p3_s1		Device	mITOCtrl_B_p3_s1		Device	mITOCtrl_C_p1_s1		Device	mITOCtrl_C_p1_s1		Device	mITOCtrl_C_p2_s1		Device	mITOCtrl_C_p2_s1		Device	mITOCtrl_C_p3_s1		Device	mITOCtrl_C_p3_s1		
Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		Date	11/20/2019		
Time	2:55:16 PM		Time	2:55:42 PM		Time	2:56:44 PM		Time	2:56:44 PM		Time	2:57:07 PM		Time	2:57:07 PM		Time	3:01:01 PM		Time	3:01:01 PM		Time	3:01:48 PM		Time	3:01:48 PM		Time	3:02:10 PM		Time	3:02:10 PM		Time	3:03:38 PM		Time	3:03:38 PM		Time	3:03:57 PM		Time	3:03:57 PM		Time	3:04:24 PM		Time	3:04:24 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
