Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	DPPDTT_4K_A_s1_p1		Device	DPPDTT_4K_A_s1_p1		Device	DPPDTT_4K_A_s1_p2		Device	DPPDTT_4K_A_s1_p2		Device	DPPDTT_4K_A_s1_p3		Device	DPPDTT_4K_A_s1_p3		Device	DPPDTT_4K_B_s1_p1		Device	DPPDTT_4K_B_s1_p1		Device	DPPDTT_4K_B_s1_p2		Device	DPPDTT_4K_B_s1_p2		Device	DPPDTT_4K_B_s1_p3		Device	DPPDTT_4K_B_s1_p3		Device	DPPDTT_3KP_A_s1_p3		Device	DPPDTT_3KP_A_s1_p3		Device	DPPDTT_3KP_A_s2_p3		Device	DPPDTT_3KP_A_s2_p3		Device	DPPDTT_3KP_A_s1_p1		Device	DPPDTT_3KP_A_s1_p1		Device	DPPDTT_3KP_B_s1_p1		Device	DPPDTT_3KP_B_s1_p1		Device	DPPDTT_3KP_B_s1_p2		Device	DPPDTT_3KP_B_s1_p2		Device	DPPDTT_3KP_B_s2_p2		Device	DPPDTT_3KP_B_s2_p2		Device	DPPDTT_3KP_B_s1_p3		Device	DPPDTT_3KP_B_s1_p3		Device	Spiro_B_s1_p2		Device	Spiro_B_s1_p2		Device	Spiro_B_s2_p2		Device	Spiro_B_s2_p2		Device	Spiro_B_s3_p2		Device	Spiro_B_s3_p2		Device	Spiro_A_s1_p1		Device	Spiro_A_s1_p1		Device	Spiro_A_s1_p2		Device	Spiro_A_s1_p2		Device	Spiro_A_s1_p3		Device	Spiro_A_s1_p3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		
Time	6:55:00 PM		Time	6:55:00 PM		Time	6:55:36 PM		Time	6:55:36 PM		Time	6:56:06 PM		Time	6:56:06 PM		Time	6:57:45 PM		Time	6:57:45 PM		Time	6:58:14 PM		Time	6:58:14 PM		Time	6:58:46 PM		Time	6:58:46 PM		Time	7:05:09 PM		Time	7:05:09 PM		Time	7:06:01 PM		Time	7:06:01 PM		Time	7:06:31 PM		Time	7:06:31 PM		Time	7:08:09 PM		Time	7:08:09 PM		Time	7:08:36 PM		Time	7:08:36 PM		Time	7:09:19 PM		Time	7:09:19 PM		Time	7:09:46 PM		Time	7:09:46 PM		Time	7:11:54 PM		Time	7:11:54 PM		Time	7:13:26 PM		Time	7:13:26 PM		Time	7:14:08 PM		Time	7:14:08 PM		Time	7:15:51 PM		Time	7:15:51 PM		Time	7:16:26 PM		Time	7:16:26 PM		Time	7:16:52 PM		Time	7:16:52 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
