Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		Run Id	(1 of 2)		Run Id	(2 of 2)		
Device	A_s1_p1		Device	A_s1_p1		Device	A_s1_p2		Device	A_s1_p2		Device	A_s1_p3		Device	A_s1_p3		Device	B_s1_p1		Device	B_s1_p1		Device	B_s1_p2		Device	B_s1_p2		Device	B_s1_p3		Device	B_s1_p3		Device	C_s1_p1		Device	C_s1_p1		Device	C_s1_p2		Device	C_s1_p2		Device	C_s1_p3		Device	C_s1_p3		
Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		Curve	Illuminated IV1		Curve	Illuminated IV2		
Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		Size [cm2]	0.07		
Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		Temperature [C]	25		
Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		Material	None		
Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		Date	11/21/2019		
Time	6:42:40 PM		Time	6:42:40 PM		Time	6:43:19 PM		Time	6:43:19 PM		Time	6:43:52 PM		Time	6:43:52 PM		Time	6:45:35 PM		Time	6:45:35 PM		Time	6:46:09 PM		Time	6:46:09 PM		Time	6:46:36 PM		Time	6:46:36 PM		Time	6:48:25 PM		Time	6:48:25 PM		Time	6:48:56 PM		Time	6:48:56 PM		Time	6:49:29 PM		Time	6:49:29 PM		
Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		Temperature Corrected	no		
Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		Irradiance [W/m2]	-1		
Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		Irradiance Corrected	no		
V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	V [V] 	I [A]	P [W]	
-0.111664409	0.00129008292	-0.000144056346822794	-0.114586469	0.00147422596	-0.000168926347264535	-0.105922347	0.00133672271	-0.0001415888067314	-0.111259298	0.00148708705	-0.000165452261247891	-0.110337948	0.00136449049	-0.000150555080732115	-0.11339348	0.00147524759	-0.000167283458091713	-0.110311904	0.00137415392	-0.000151585535304264	-0.11059946	0.00149220448	-0.000165037009697581	-0.110452889	0.00123750839	-0.000136686376837239	-0.113982688	0.00149109395	-0.000169958896481538	-0.107005503	0.00134368948	-0.000143782168683208	-0.115760048	0.00150099518	-0.000173755274084569	-0.111202674	-2.83980735E-07	3.15794170964854E-08	-0.120363996	9.62763956E-07	-1.15882116948928E-07	-0.109689064	0.00136573608	-0.000149806312286229	-0.115474285	0.00151244445	-0.000174648441465968	-0.110284038	0.00184310423	-0.000203264976939281	-0.109344928	0.00188387278	-0.00020599193349026	
-0.104785501	0.00128254704	-0.000134392334142467	-0.11054613	0.0014625712	-0.000161681586009456	-0.102378884	0.00133305636	-0.000136476822445902	-0.110445331	0.00147763488	-0.000163197873418745	-0.106705073	0.00136144289	-0.000145272862962781	-0.105818252	0.00146328346	-0.000154842097917712	-0.103192955	0.00136698744	-0.000141063473381485	-0.105490541	0.00148549052	-0.000156705198605171	-0.104432018	0.00122921061	-0.000128368944549311	-0.107873031	0.00147249898	-0.000158842928117008	-0.103938627	0.00134741586	-0.000140048554486424	-0.10984001	0.00148584031	-0.000163204714508803	-0.109779587	-7.36502883E-07	8.08529823200493E-08	-0.111649791	2.00864423E-07	-2.24264708472856E-08	-0.106158607	0.00137106938	-0.000145550815481154	-0.106553011	0.00149652768	-0.000159459530348844	-0.10315082	0.00180577115	-0.000186266774854843	-0.106271397	0.0018549206	-0.000197125003486078	
-0.10034779112	0.001284185356	-0.000128865163863251	-0.10487590188	0.001449009392	-0.00015196616681859	-0.09935329448	0.001338563278	-0.000132990671539248	-0.10457095792	0.001467623056	-0.000153470748831398	-0.10092867932	0.001359309572	-0.000137193319888994	-0.10400983518	0.001447712082	-0.000150576295036915	-0.10012741382	0.001372873002	-0.00013746222319356	-0.10321987298	0.001477571386	-0.000152514730781803	-0.1005146503	0.001229267868	-0.000123559429877047	-0.10427953768	0.001456318084	-0.000151864176514543	-0.10035032842	0.001348289506	-0.00013530129473234	-0.1049924357	0.0014753381	-0.00015489934060001	-0.10358114812	-1.4360651818E-07	1.48749280306001E-08	-0.1089466074	4.890009738E-07	-5.32749971108063E-08	-0.10064184752	0.001363648014	-0.000137240055495939	-0.1052887828	0.001491087254	-0.000156994762022254	-0.09933213044	0.001784516462	-0.000177259821975711	-0.10320109336	0.001830708816	-0.000188931151434991	
-0.09514044456	0.001280787746	-0.00012185471554144	-0.10033348924	0.001434092784	-0.000143887532912626	-0.09592620592	0.001340177582	-0.0001285581507003	-0.1011051214	0.001458113626	-0.000147422755171724	-0.09569349326	0.00135586671	-0.000129747621874843	-0.10013210414	0.001435781198	-0.00014376779244039	-0.09570549418	0.001372827748	-0.000131387158046356	-0.0996189592	0.001469783386	-0.000146418291162772	-0.09567664738	0.001224865474	-0.000117191022043835	-0.09930823088	0.001436768204	-0.000142682908523875	-0.09672220736	0.001349491922	-0.000130525837510329	-0.10016223292	0.001463209582	-0.00014655833896306	-0.09915802476	-1.8885873298E-07	1.87268589209731E-08	-0.10423765896	6.866330946E-07	-7.15730263455642E-08	-0.09626825118	0.001362597978	-0.000131174924403464	-0.09984121166	0.00148034678	-0.000147799616192179	-0.09421623156	0.00175584041	-0.000165428666650965	-0.09955527972	0.00180273279	-0.000179471567168866	
-0.09102229504	0.001280968754	-0.000116596715863609	-0.09522653358	0.001410795282	-0.000134345144295879	-0.09252892392	0.001341734628	-0.000124149261315042	-0.09607337714	0.001446380372	-0.000138958646967049	-0.0910948281	0.00135510481	-0.000123443039724433	-0.09578939282	0.001423393174	-0.000136345967881593	-0.09220332122	0.001374458676	-0.000126729654806844	-0.0963220681	0.001461707252	-0.000140794665469408	-0.09184115208	0.00122713455	-0.000112701450829172	-0.09536473452	0.001416806436	-0.000135113369635367	-0.09223642498	0.001347877618	-0.000124323412794878	-0.0952708333	0.001450500174	-0.000138190360278775	-0.09495064722	3.5878541762E-07	-3.4066907616117E-08	-0.0996916937	3.36621066E-07	-3.35583242046395E-08	-0.09199751988	0.001361102808	-0.000125218082637704	-0.0955530402	0.001471068228	-0.000140565041527027	-0.09046336804	0.001736702418	-0.000157107950015492	-0.09573715984	0.001775535286	-0.000169984705477342	
