Wavelength,Responsivity
320.0,0.174
320.1,0.17407
320.2,0.17414
320.3,0.17421
320.4,0.17428
320.5,0.17435
320.6,0.17442
320.7,0.17449
320.8,0.17456
320.9,0.17463
321.0,0.1747
321.1,0.17477
321.2,0.17484
321.3,0.17491
321.4,0.17498
321.5,0.17505
321.6,0.17512
321.7,0.17519
321.8,0.17526
321.9,0.17533
322.0,0.1754
322.1,0.17547
322.2,0.17554
322.3,0.17561
322.4,0.17568
322.5,0.17575
322.6,0.17582
322.7,0.17589
322.8,0.17596
322.9,0.17603
323.0,0.1761
323.1,0.17617
323.2,0.17624
323.3,0.17631
323.4,0.17638
323.5,0.17645
323.6,0.17652
323.7,0.17659
323.8,0.17666
323.9,0.17673
324.0,0.1768
324.1,0.17687
324.2,0.17694
324.3,0.17701
324.4,0.17708
324.5,0.17715
324.6,0.17722
324.7,0.17729
324.8,0.17736
324.9,0.17743
325.0,0.1775
325.1,0.17757
325.2,0.17764
325.3,0.17771
325.4,0.17778
325.5,0.17785
325.6,0.17792
325.7,0.17799
325.8,0.17806
325.9,0.17813
326.0,0.1782
326.1,0.17827
326.2,0.17834
326.3,0.17841
326.4,0.17848
326.5,0.17855
326.6,0.17862
326.7,0.17869
326.8,0.17876
326.9,0.17883
327.0,0.1789
327.1,0.17897
327.2,0.17904
327.3,0.17911
327.4,0.17918
327.5,0.17925
327.6,0.17932
327.7,0.17939
327.8,0.17946
327.9,0.17953
328.0,0.1796
328.1,0.17967
328.2,0.17974
328.3,0.17981
328.4,0.17988
328.5,0.17995
328.6,0.18002
328.7,0.18009
328.8,0.18016
328.9,0.18023
329.0,0.1803
329.1,0.18037
329.2,0.18044
329.3,0.18051
329.4,0.18058
329.5,0.18065
329.6,0.18072
329.7,0.18079
329.8,0.18086
329.9,0.18093
330.0,0.181
330.1,0.18103
330.2,0.18106
330.3,0.18109
330.4,0.18112
330.5,0.18115
330.6,0.18118
330.7,0.18121
330.8,0.18124
330.9,0.18127
331.0,0.1813
331.1,0.18133
331.2,0.18136
331.3,0.18139
331.4,0.18142
331.5,0.18145
331.6,0.18148
331.7,0.18151
331.8,0.18154
331.9,0.18157
332.0,0.1816
332.1,0.18163
332.2,0.18166
332.3,0.18169
332.4,0.18172
332.5,0.18175
