wl,power
119.5,6.1900E-05
120.5,5.6140E-04
121.5,4.9010E-03
122.5,1.1840E-03
123.5,4.7700E-05
124.5,3.4300E-05
125.5,2.8800E-05
126.5,3.5200E-05
127.5,2.1300E-05
128.5,1.7300E-05
129.5,3.9900E-05
130.5,1.2060E-04
131.5,3.9800E-05
132.5,4.1300E-05
133.5,1.6800E-04
134.5,4.5700E-05
135.5,3.8000E-05
136.5,3.0900E-05
137.5,2.9200E-05
138.5,3.9700E-05
139.5,7.5600E-05
140.5,6.0800E-05
141.5,4.2100E-05
142.5,4.6800E-05
143.5,5.1100E-05
144.5,5.0900E-05
145.5,5.5400E-05
146.5,7.0900E-05
147.5,8.4900E-05
148.5,8.2000E-05
149.5,7.9600E-05
150.5,8.7000E-05
151.5,9.2700E-05
152.5,1.1630E-04
153.5,1.2990E-04
154.5,2.0590E-04
155.5,2.1440E-04
156.5,1.8470E-04
157.5,1.7170E-04
158.5,1.6750E-04
159.5,1.7540E-04
160.5,1.9340E-04
161.5,2.2280E-04
162.5,2.5190E-04
163.5,2.8410E-04
164.5,2.9730E-04
165.5,4.3020E-04
166.5,3.9890E-04
167.5,3.8750E-04
168.5,4.5560E-04
169.5,5.8770E-04
170.5,6.6160E-04
171.5,6.8800E-04
172.5,7.2520E-04
173.5,7.6450E-04
174.5,9.0670E-04
175.5,1.0790E-03
176.5,1.2200E-03
177.5,1.4030E-03
178.5,1.5380E-03
179.5,1.5760E-03
180.5,1.8310E-03
181.5,2.2330E-03
182.5,2.2430E-03
183.5,2.2440E-03
184.5,2.0660E-03
185.5,2.3110E-03
186.5,2.7000E-03
187.5,3.0090E-03
188.5,3.2910E-03
189.5,3.5690E-03
190.5,3.7640E-03
191.5,4.1650E-03
192.5,4.1130E-03
193.5,3.8080E-03
194.5,5.2100E-03
195.5,5.4270E-03
196.5,6.0080E-03
197.5,6.1910E-03
198.5,6.1870E-03
199.5,6.6640E-03
200.5,7.3260E-03
201.5,8.0230E-03
202.5,8.2610E-03
203.5,9.2170E-03
204.5,1.0250E-02
205.5,1.0540E-02
206.5,1.1080E-02
207.5,1.2650E-02
208.5,1.5050E-02
209.5,2.1380E-02
210.5,2.7920E-02
211.5,3.3540E-02
212.5,3.1300E-02
213.5,3.3150E-02
214.5,4.0030E-02
215.5,3.6150E-02
216.5,3.2270E-02
217.5,3.5290E-02
218.5,4.4370E-02
219.5,4.6920E-02
220.5,4.7330E-02
221.5,3.9580E-02
222.5,4.9650E-02
223.5,6.3010E-02
224.5,5.8970E-02
225.5,5.2290E-02
226.5,3.9400E-02
227.5,3.9920E-02
228.5,5.1950E-02
229.5,4.7710E-02
230.5,5.2120E-02
231.5,5.0970E-02
232.5,5.3260E-02
233.5,4.4740E-02
234.5,3.8970E-02
235.5,5.1420E-02
236.5,4.8590E-02
237.5,4.8440E-02
238.5,4.1960E-02
239.5,4.4120E-02
240.5,3.9560E-02
241.5,5.1480E-02
242.5,7.0600E-02
243.5,6.6530E-02
244.5,6.0970E-02
245.5,4.9390E-02
246.5,5.0400E-02
247.5,5.5500E-02
248.5,4.5650E-02
249.5,5.6380E-02
250.5,6.0100E-02
251.5,4.6010E-02
252.5,4.1550E-02
253.5,5.1550E-02
254.5,5.9570E-02
255.5,7.9300E-02
256.5,1.0180E-01
257.5,1.2540E-01
258.5,1.2510E-01
259.5,1.0400E-01
260.5,8.5510E-02
261.5,8.9800E-02
262.5,1.0360E-01
263.5,1.6580E-01
264.5,2.4970E-01
265.5,2.5270E-01
266.5,2.4940E-01
267.5,2.5080E-01
268.5,2.4380E-01
269.5,2.3890E-01
270.5,2.6730E-01
271.5,2.2440E-01
272.5,1.9740E-01
273.5,1.9650E-01
274.5,1.3260E-01
275.5,1.7510E-01
276.5,2.4280E-01
277.5,2.3380E-01
278.5,1.5930E-01
279.5,8.5550E-02
280.5,9.4630E-02
281.5,2.0830E-01
282.5,2.9410E-01
283.5,3.1350E-01
284.5,2.3530E-01
285.5,1.6310E-01
286.5,3.2270E-01
287.5,3.3630E-01
288.5,3.2220E-01
289.5,4.7270E-01
290.5,6.0130E-01
291.5,5.8080E-01
292.5,5.2190E-01
293.5,5.3550E-01
294.5,5.0880E-01
295.5,5.5320E-01
296.5,5.0960E-01
297.5,5.0730E-01
298.5,4.6550E-01
299.5,4.8400E-01
300.5,4.2000E-01
301.5,4.5550E-01
302.5,4.8900E-01
303.5,6.2060E-01
304.5,6.0250E-01
305.5,5.9480E-01
306.5,5.5570E-01
307.5,6.1500E-01
308.5,6.1140E-01
309.5,4.9650E-01
310.5,6.2240E-01
311.5,7.2920E-01
312.5,6.5590E-01
313.5,6.9990E-01
314.5,6.6290E-01
315.5,6.3300E-01
